Team,DefRtg
Oklahoma City Thunder,104.6
Denver Nuggets,115.4
Houston Rockets,112.9
New York Knicks,114.1
San Antonio Spurs,108.0
Detroit Pistons,110.2
Boston Celtics,114.2
Minnesota Timberwolves,112.2
Golden State Warriors,111.0
Cleveland Cavaliers,114.6
Orlando Magic,112.8
Toronto Raptors,111.8
Miami Heat,112.5
Philadelphia 76ers,113.3
Phoenix Suns,113.7
Los Angeles Lakers,118.1
Atlanta Hawks,115.6
Memphis Grizzlies,114.0
Milwaukee Bucks,115.8
Portland Trail Blazers,116.2
Charlotte Hornets,117.7
Dallas Mavericks,113.1
Chicago Bulls,117.6
Brooklyn Nets,116.0
LA Clippers,118.2
New Orleans Pelicans,118.9
Utah Jazz,121.5
Indiana Pacers,115.7
Sacramento Kings,119.4
Washington Wizards,123.1

